;noun;n
1020;rotmistr;636
1021;puritán;635
1022;jasnovidec;633
1023;stařešina;630
1024;praktikant;628
1025;vysídlenec;624
1026;venezuelan;623
1027;vševěd;623
1028;řekyně;619
1029;nymfomanka;618
1030;zootechnik;614
1031;squater;609
1032;feudál;606
1033;šereda;604
1034;četař;602
1035;děvečka;602
1036;šmudla;596
1037;paša;595
1038;gigolo;594
1039;trýznitel;594
1040;korejka;593
1041;mrňous;593
1042;lajdák;590
1043;puškař;590
1044;bručoun;587
1045;slévač;584
1046;živáček;583
1047;konzervátor;582
1048;čtverák;580
1049;badatelka;578
1050;skoták;578
1051;uruguayec;578
1052;osvícenec;575
1053;zkušební komisař;566
1054;křesťanka;561
1055;kubánka;560
1056;holanďanka;557
1057;směnárník;555
1058;tchajwanec;555
1059;hrubián;551
1060;natěrač;548
1061;pracovník finanční;547
1062;pair;546
1063;katan;545
1064;bezpečnostní manažer;542
1065;hejsek;542
1066;koumák;541
1067;produktový manažer;541
1068;indka;540
1069;jeřábník;534
1070;rarášek;534
1071;kartograf;533
1072;geodet;531
1073;nemrava;530
1074;osůbka;524
1075;mahátma;511
1076;čalouník;509
1077;plebejec;508
1078;anorektička;506
1079;pomatenec;503
1080;stevard;502
1081;břídil;501
1082;květinář;500
1083;mravokárce;500
1084;brach;493
1085;malťan;493
1086;stavební technik;493
1087;servisní technik;492
1088;kloboučník;491
1089;pecivál;491
1090;chuďas;490
1091;nicka;489
1092;mladice;487
1093;děvkař;486
1094;libertin;484
1095;nevolník;484
1096;ochutnávač;483
1097;vystěhovalec;481
1098;neposeda;479
1099;bláhovec;477
1100;ladič;477
1101;lepič;476
1102;střelmistr;475
1103;vlakvedoucí;475
1104;služebnice;472
1105;mouřenín;469
1106;sprosťák;469
1107;irka;467
1108;arborista;466
1109;nýmand;464
1110;asiatka;458
1111;mučitel;453
1112;panoš;450
1113;televizní režisér;450
1114;mexičanka;448
1115;inteligent;445
1116;jihoafričanka;441
1117;romský asistent;441
1118;obkladač;439
1119;elektromechanik;438
1120;nestyda;436
1121;rusovláska;433
1122;krupiér;431
1123;nepálec;431
1124;frézař;426
1125;paraplegik;422
1126;hňup;421
1127;slouha;421
1128;paranoik;419
1129;logistik;417
1130;dražebník;416
1131;ňouma;414
1132;mrzout;413
